horizon_min,nominal,empirical,abs_err
1,0.5,0.55,0.05
1,0.7,0.7445,0.0445
1,0.8,0.8305,0.0305
1,0.9,0.9127,0.0127
1,0.95,0.9545,0.0045
5,0.5,0.5012,0.0012
5,0.7,0.7208,0.0208
5,0.8,0.8123,0.0122
5,0.9,0.9243,0.0242
5,0.95,0.9643,0.0143
10,0.5,0.472,0.028
10,0.7,0.6915,0.0085
10,0.8,0.8133,0.0132
10,0.9,0.9357,0.0357
10,0.95,0.9725,0.0225
15,0.5,0.4527,0.0473
15,0.7,0.7075,0.0075
15,0.8,0.8407,0.0407
15,0.9,0.947,0.047
15,0.95,0.9785,0.0285
20,0.5,0.4695,0.0305
20,0.7,0.7462,0.0463
20,0.8,0.8558,0.0557
20,0.9,0.9485,0.0485
20,0.95,0.9785,0.0285
30,0.5,0.4965,0.0035
30,0.7,0.7408,0.0408
30,0.8,0.8438,0.0437
30,0.9,0.9337,0.0337
30,0.95,0.967,0.017
